,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
[ 2.  3.  1. 20.],-0.0099,-0.01,-0.01,-0.01,-0.01,-0.01,-0.009899214057259624,-0.01,-0.01,-0.0098111011262319,-0.010003111471267444,-0.01000078594219,-0.01,-0.01,-0.01,-0.01
[ 2.  3.  2. 25.],-0.01,0.0,-9.99999999999994e-05,-0.01,9e-05,0.0,0.0,0.0,0.0,0.0,-2.2573090000000198e-05,0.0,-0.01,0.0,0.0,0.0
[ 2.  4.  2. 25.],-9.99999999999994e-05,0.0,-0.01,-0.01,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009701000000000001,0.0,-9.99999999999994e-05
[ 1.  4.  1. 15.],-8.819460353421256e-05,0.0,-6.940350240447027e-09,0.0,-8.909999999977814e-05,0.0,-0.009999999936945171,0.0,-0.009999999936333421,0.0,-0.009999999877961213,0.0,0.0,0.0,0.0,0.0
[ 2.  4.  1. 15.],-0.009600671649050636,-0.0099999927829,-0.01,-7.711500506362291e-07,-7.947550710000002e-07,-9e-05,-0.01,-0.01,-7.868075202900001e-07,0.0,-0.01,-0.009903962873240637,0.0,-0.01,-8.910000000000001e-05,-0.01
[ 2.  4.  1. 20.],-8.820900000000001e-05,-0.01,-4.7875041900000005e-06,-0.01,-8.910000000000001e-05,-0.0099,-0.01,0.0,0.0,-0.00017725554090000002,-0.01,-0.01000238172319,0.0,0.0,0.0,-0.0099
[ 2.  5.  1. 20.],-0.01,-0.01,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,-0.01,-0.0005319449100000001,0.0,-0.01,-0.01,-0.01
[ 2.  5.  2. 20.],-0.03940399,-0.01,-0.01,-0.01969299,-0.01,-0.01,0.0,-0.01,0.0,0.0,-0.01,-0.03940399,0.0,0.0,-0.01,-0.0199
[ 1.  4.  0. 15.],-0.00999999999999982,-0.009999999685049258,2.364161563552395e-15,0.0,-0.01,0.0,-0.009999999989011415,0.0,0.0,0.0,-0.009899999816639367,-0.009800999563277965,0.0,0.0,0.0,2.0169887248257948e-18
[ 1.  4.  2. 20.],-0.01,0.0,-0.009830499336601487,0.0,0.0,0.00016951453163460903,-0.0099109,-0.00999922969805958,0.0,-0.01,-0.01,0.0,-1.790999999999997e-06,0.0,0.0,-8.996618369764812e-05
[ 1.  1.  1. 15.],-8.86274141243853e-05,-8.654355755219232e-05,-0.009999999617698466,-0.009999984438435455,-2.246833972086425e-06,-4.975535112436387e-06,-0.009800997788944348,-0.009999999989775816,-7.604705412049195e-07,-2.257520026099582e-06,-0.009899999409293541,-0.009801034635300503,0.0,-8.732678563081587e-05,-7.939742840062543e-07,-8.533109299089715e-05
[ 1.  2.  1. 20.],-0.009999948157862907,-7.798047753771e-07,-8.920487047888531e-05,-0.00999999293629183,0.0,-0.009999961052382704,0.0,-0.00999999987139128,0.0,-8.349644213904437e-05,2.995139596796862e-10,0.0,-0.00999999993539919,0.0,-0.009999964508890881,0.0
[ 1.  2.  2. 20.],-0.010013466504396724,-0.00017983422075754012,-0.009545111702752193,-0.009711878704510174,-8.276477335917798e-05,-6.502233695883926e-05,-0.01,0.0,-6.561000000000002e-11,0.0,-0.0099999927829,-0.010216778476798121,0.0,7.848564633983844e-07,-0.00998848723168204,-0.0003418405490492253
[ 1.  2.  2. 25.],0.0,0.0,0.0,0.0,0.0,0.00017901090000000002,-0.009998419455099999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009999198099999999
[ 1.  2.  3. 25.],-0.01,-0.01,0.00026548132627971004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00371589996721065,0.0,0.0,0.0,0.0
[ 1.  3.  3. 25.],-8.198099999999402e-06,0.0,-0.00042704688272210585,-0.01,0.0,0.01,0.0,0.0,0.0,0.0,-0.01,-0.010099,0.0,0.00999,0.0,0.0199
[ 1.  5.  1. 25.],0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,-0.01,-0.01,-0.009908604111946391,-0.01,-0.01,-0.01,-0.01,0.0,-0.01
[ 1.  3.  3. 15.],-0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0
[ 1.  4.  3. 15.],0.0,0.0,0.0,-0.01,0.0,0.0,-9e-05,0.0,0.0,0.0,-0.01,-9e-05,0.0,-0.01,0.0,0.0
[ 1.  2.  3. 15.],-0.029691172361159625,-0.0001739248919928085,-8.999293243694076e-05,-8.435219076026485e-05,0.0,-0.00017909300311257139,-9e-05,0.0,0.0,0.0,-0.01,-0.020032920153492274,0.0,0.0,0.0,-0.010087521850831968
[ 1.  2.  3. 20.],-0.03879602895119841,-0.01658916177430706,-0.019132548119208934,-0.019702419424036447,-0.0199,-0.009897610668063482,-0.019104125069509578,-0.01,-0.019898331904785294,-0.0199,-0.02907350949936168,-0.038326076290473826,-0.0199,-0.01,-0.01,-0.029700230342382852
[ 1.  5.  0. 15.],0.0,4.327326071102656e-16,0.0,0.0,0.0,-0.009999999812201992,0.0,0.0,0.0,7.230058516226746e-14,0.0,-0.009999999999925253,0.0,0.0,0.0,0.0
[ 1.  5.  1. 15.],0.0,0.0,-0.0099999927829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,5.788320672007548e-13,0.0,0.0,-0.00999999999997632
[ 2.  5.  1. 15.],-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.0099,0.0,0.0,-0.01,-0.01
[ 3.  5.  1. 15.],0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,0.0
[ 2.  4.  2. 20.],-0.03920312840401,-0.00017910000000000002,-8.910000000000001e-05,0.0,0.0,-0.009911791000000001,0.0,0.0,0.0,-0.01,-0.01,-0.02931399,0.0,0.0,0.0,-9e-05
[ 1.  1.  0. 10.],-0.0004332680069311244,-9.309725298439684e-05,-1.4214242052383689e-05,-0.00010166942670997098,-9.19113480723397e-05,-0.0099,-7.482960960935598e-05,0.0,-9.6233975813436e-06,-6.083505827624123e-05,-9.778567212527427e-05,-0.009339015096900612,0.0,9.207562760815959e-17,0.0,-7.116231936566017e-05
[ 1.  2.  0. 10.],-0.0011723302200893925,-5.055882937440305e-09,0.0,-0.00999999999999987,0.0,4.6839600086419187e-17,1.201181097690476e-12,0.0,0.0,1.2565467264746083e-11,-4.584176988728315e-09,-0.009816005102444911,0.0,0.0,0.0,-6.996680374787916e-09
[ 1.  2.  1. 10.],-8.632914162656358e-05,0.0,5.152356009506111e-15,-0.009999999999989746,0.0,-8.546591376568848e-05,-0.01,0.0,0.0,0.0,0.0,3.426133087350517e-14,0.0,9.423879037731005e-17,0.0,-8.820884459360279e-05
[ 1.  4.  0. 20.],-0.00999999946877562,-0.009999999563530513,-0.00999999999774217,-0.009999986084664302,-0.009999993125995138,-0.009999986407741803,-0.009899999999986153,0.0,0.0,-7.710296864672617e-07,0.0,0.0,0.0,0.0,0.0,0.0
[ 2.  5.  3. 20.],-0.0199,-0.01,0.0,-0.01,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,-0.0199,0.0,0.0,0.0,-0.01
[ 1.  3.  0. 20.],0.0,0.0,-0.009999999821218537,0.0,-0.009999999260442038,-0.009999999815849035,0.0,0.0,0.0,8.352500204698141e-06,-0.00999999978748283,0.0,0.0,-0.009999999872804687,0.0,5.420103879915502e-10
[ 1.  5.  0. 20.],-0.01,0.0,0.0,-0.0099999791490502,-0.009999999998440128,0.0,-0.009999999997253286,0.0,-0.009999999994388317,0.0,-0.01,0.0,0.0,-0.009999999936975295,-0.009999999996719314,0.0
[ 1.  4.  2. 25.],-0.0008763565209301029,-0.01,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,-0.01,-9.99999999999994e-05,-0.01,0.0,0.009786667698709998,0.0
[ 1.  5.  2. 25.],0.0,-0.01,0.0,-0.01,0.0,0.0,-0.009825310895508999,0.0,0.0,0.009801,0.0,0.0,0.0,0.019605567663900002,0.0,0.0
[ 2.  5.  2. 25.],-0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.01
[ 1.  4.  1. 25.],0.0,-0.01,0.0,0.0,0.0,-0.0199,0.0,0.0,0.0,-0.01,0.0,-0.0099992133361,-0.01,0.0,-0.009999177437007518,-0.01
[ 1.  3.  2. 25.],0.0,0.0,0.0007726509172950955,-0.00010989999999999958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0099109,0.0,9e-05,0.0,0.00017468910449099998
[ 2.  5.  0. 15.],-0.01,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.01,-0.01,0.0
[ 2.  3.  1. 15.],-8.64536409e-05,-2.8286102431294296e-08,-0.010089099936975295,-0.00999919182842029,0.0,-0.000179099935695639,-0.01,0.0,0.0,7.0677037167436335e-09,-0.01,-8.910000000000001e-05,0.0,0.0,0.0,-0.01
[ 2.  3.  2. 15.],-0.029700992997255087,-0.01,-8.027829000000002e-07,-0.01,-0.01,0.0,-9e-05,-7.938810000000001e-07,0.0,0.0,-8.019000000000002e-07,-0.029700992926520287,0.0,0.0,0.0,-0.0199
